blNo,containerNo,ataPort,pedimentoNo,proformaRevisionBy,targetReviewDate,proformaSentDate,pedimentoAuthorizedDate,peceRequestDate,peceAuthDate,pedimentoPaymentDate,truckAppointmentDate,ataFactory,eirDate
143574068164,EITU1925740,,,,,,,,,,,,
EGLV143574068164,TIIU6823649,,,,,,,,,,,,
EGLV143574068164,EGSU9644417,,,,,,,,,,,,
143574068164,GAOU6676945,,,,,,,,,,,,
EGLV143574068164,EMCU8524280,,,,,,,,,,,,
143574068164,EMCU8275336,,,,,,,,,,,,
EGLV143574068164,EGHU8364233,,,,,,,,,,,,
EGLV143574068164,EITU1925740,,,,,,,,,,,,
143574068164,EISU8309146,,,,,,,,,,,,
143574068164,EITU1067208,,,,,,,,,,,,
EGLV143574068164,EMCU8275336,,,,,,,,,,,,
143574068164,EGHU8364233,,,,,,,,,,,,
143574068164,EMCU8524280,,,,,,,,,,,,
143574068164,EGSU9644417,,,,,,,,,,,,
143574068164,TIIU6823649,,,,,,,,,,,,
EGLV143574068164,EITU1067208,,,,,,,,,,,,
EGLV143574068164,GAOU6676945,,,,,,,,,,,,
EGLV143574068164,EISU8309146,,,,,,,,,,,,